Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
17.48,98.99,3,3,Иногда,6.77,85.11,5,Да,2,Средний,4,Обычная,Нейтральное,Умеренная,Да,Среднее,3.55,Мужской,100.0
14.31,94.25,1,4,Иногда,7.01,75.28,4,Да,2,Низкий,2,Обычная,Нейтральное,Умеренная,Да,Среднее специальное,1.38,Женский,100.0
18.24,85.6,3,5,Часто,6.68,91.21,2,Да,1,Средний,3,Частная,Положительное,Высокая,Нет,Среднее,2.42,Мужской,100.0
22.62,78.53,2,2,Нет,5.78,56.85,3,Да,2,Средний,3,Частная,Положительное,Умеренная,Нет,Среднее,1.67,Мужской,100.0
13.83,91.98,4,4,Нет,7.68,59.03,4,Да,1,Средний,3,Обычная,Положительное,Умеренная,Да,Среднее специальное,1.77,Мужской,100.0
13.83,88.93,5,4,Часто,8.2,48.86,4,Да,1,Средний,3,Обычная,Положительное,Низкая,Нет,Среднее,0.8,Мужской,100.0
22.9,93.95,1,2,Редко,8.12,66.61,3,Нет,1,Средний,2,Обычная,Нейтральное,Низкая,Нет,Среднее,1.24,Женский,100.0
18.84,91.35,5,4,Иногда,8.48,76.94,3,Да,3,Высокий,5,Частная,Нейтральное,Умеренная,Нет,Среднее специальное,0.16,Мужской,100.0
12.65,95.5,3,3,Иногда,7.89,76.23,5,Да,6,Низкий,1,Обычная,Нейтральное,Низкая,Нет,Высшее,0.88,Женский,100.0
17.71,79.65,2,3,Иногда,6.86,76.79,4,Да,2,Средний,4,Обычная,Положительное,Низкая,Нет,Среднее,2.38,Мужской,100.0
12.68,98.17,1,2,Часто,8.51,58.07,3,Да,0,Низкий,3,Частная,Нейтральное,Умеренная,Нет,Среднее,6.12,Мужской,99.49
12.67,86.98,3,3,Часто,5.87,84.64,3,Да,0,Низкий,4,Обычная,Нейтральное,Низкая,Нет,Среднее,6.6,Женский,100.0
16.21,100.0,4,3,Иногда,6.42,77.88,4,Да,3,Средний,3,Обычная,Нейтральное,Высокая,Нет,Высшее,1.62,Женский,100.0
5.43,78.11,4,5,Редко,6.34,83.8,2,Нет,3,Низкий,4,Частная,Нейтральное,Умеренная,Нет,Высшее,1.87,Женский,100.0
6.38,100.0,1,2,Часто,8.8,52.29,2,Нет,4,Низкий,4,Частная,Нейтральное,Умеренная,Нет,Среднее специальное,0.41,Женский,100.0
12.19,86.98,1,3,Нет,8.63,78.74,4,Да,2,Низкий,4,Обычная,Положительное,Низкая,Нет,Высшее,2.38,Мужской,100.0
